4.73,4.82,4.86,4.86,4.83,4.80,4.81,4.78,4.75,4.68,4.66,4.65,4.61,4.57,4.50,4.43,4.37,4.34,4.27,4.16,4.00
4.88,4.92,4.83,4.76,4.74,4.71,4.67,4.64,4.61,4.56,4.54,4.53,4.48,4.45,4.39,4.35,4.31,4.31,4.29,4.24,4.17
4.94,4.92,4.83,4.72,4.70,4.67,4.66,4.62,4.62,4.58,4.56,4.52,4.47,4.42,4.39,4.32,4.32,4.31,4.31,4.29,4.28
4.99,4.92,4.77,4.65,4.63,4.64,4.60,4.56,4.55,4.52,4.51,4.50,4.44,4.36,4.34,4.30,4.33,4.30,4.36,4.36,4.34
5.04,5.00,4.83,4.71,4.72,4.74,4.71,4.69,4.68,4.65,4.64,4.61,4.54,4.48,4.43,4.42,4.40,4.42,4.47,4.49,4.44
5.15,5.05,4.89,4.79,4.81,4.82,4.80,4.83,4.82,4.79,4.76,4.74,4.64,4.58,4.55,4.49,4.46,4.51,4.56,4.55,4.51
5.10,5.01,4.88,4.79,4.83,4.85,4.82,4.87,4.90,4.83,4.76,4.73,4.67,4.65,4.61,4.56,4.52,4.54,4.56,4.53,4.47
5.03,4.96,4.84,4.84,4.88,4.90,4.88,4.92,4.93,4.90,4.83,4.78,4.73,4.68,4.65,4.60,4.52,4.51,4.53,4.50,4.48
4.89,4.88,4.81,4.83,4.85,4.87,4.88,4.89,4.85,4.81,4.79,4.76,4.71,4.67,4.64,4.59,4.55,4.51,4.52,4.46,4.42
4.64,4.71,4.74,4.71,4.78,4.82,4.82,4.82,4.80,4.78,4.78,4.74,4.68,4.70,4.65,4.62,4.60,4.59,4.57,4.47,4.37
4.48,4.60,4.64,4.65,4.71,4.77,4.78,4.75,4.73,4.76,4.77,4.77,4.79,4.76,4.76,4.74,4.71,4.68,4.68,4.53,4.34
4.28,4.35,4.54,4.57,4.63,4.65,4.69,4.72,4.73,4.74,4.79,4.80,4.82,4.76,4.77,4.76,4.75,4.67,4.59,4.39,4.24
